Record label ID,Record label,Parent company ID,Logo URL
1,Columbia,1,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Columbia_Records_Colored_Logo.svg/195px-Columbia_Records_Colored_Logo.svg.png
2,Rimas,7,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Logo_de_rimas_entertaiment.jpg/270px-Logo_de_rimas_entertaiment.jpg
3,Island,2,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Island_Records_logo.svg/270px-Island_Records_logo.svg.png
4,Jive,1,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Jive_Records_logo.svg/195px-Jive_Records_logo.svg.png
5,Atlantic,3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Atlantic_Records_box_logo_%28colored%29.svg/270px-Atlantic_Records_box_logo_%28colored%29.svg.png
6,Warner,3,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Warner_Music_Group_logo_%282021%29.svg/300px-Warner_Music_Group_logo_%282021%29.svg.png
7,Parlophone,3,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Parlophone_logo.svg/240px-Parlophone_logo.svg.png
8,El Cartel,2,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/El_Cartel_Records.jpg/300px-El_Cartel_Records.jpg
9,EMI,3,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/EMI_Records_logo_%282020%29.svg/225px-EMI_Records_logo_%282020%29.svg.png
10,Asylum,3,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Asylum_Records_logo.svg/270px-Asylum_Records_logo.svg.png
11,Interscope,2,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Interscope_Records.svg/152px-Interscope_Records.svg.png
12,Blackened,7,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Metallica_wordmark.svg/220px-Metallica_wordmark.svg.png
13,Epic,1,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Epic_Records.svg/240px-Epic_Records.svg.png
14,Universal,2,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Universal_Music_Group_logo.svg/330px-Universal_Music_Group_logo.svg.png
15,RCA,1,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/RCA_Records_%28logo%29.svg/270px-RCA_Records_%28logo%29.svg.png
16,Virgin,2,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Virgin-logo.svg/195px-Virgin-logo.svg.png
17,Big Machine,4,https://upload.wikimedia.org/wikipedia/en/8/8f/Big_Machine_Records_logo.png
18,Rolling Stones,7,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Rolling_Stones_Records.jpg/220px-Rolling_Stones_Records.jpg
19,Republic,2,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Republic_records_logo.svg/300px-Republic_records_logo.svg.png
20,Capitol,2,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Capitol_Records%27_logo.svg/270px-Capitol_Records%27_logo.svg.png
21,Albert Music,5,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Albertlogo.JPG/180px-Albertlogo.JPG
22,Mercury,2,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Mercury_Records_logo_%282022%29.png/270px-Mercury_Records_logo_%282022%29.png
23,Artistdirect,7,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Artistdirect_logo.png/330px-Artistdirect_logo.png
24,Geffen,2,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Geffen_Records_logo.svg/137px-Geffen_Records_logo.svg.png
25,Casablanca,2,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Casablanca-RecordsLogo.jpg/270px-Casablanca-RecordsLogo.jpg
26,MCA,2,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/MCA_Records_logo_%28SVG_Type%29.svg/270px-MCA_Records_logo_%28SVG_Type%29.svg.png
27,Kapp,2,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/1970kapplogo.jpg/180px-1970kapplogo.jpg
28,Atco,3,https://upload.wikimedia.org/wikipedia/en/thumb/9/95/This_is_the_current_logo_for_ATCO_Records_%282020%29.jpg/180px-This_is_the_current_logo_for_ATCO_Records_%282020%29.jpg
29,Imperial,2,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Imperial_records_2006.png/270px-Imperial_records_2006.png
30,VI,2,https://upload.wikimedia.org/wikipedia/en/3/37/VIMusic.jpg
31,Arista,1,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Arista_Records_Logo.svg/270px-Arista_Records_Logo.svg.png
32,Philips,2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Philips_old_logo.svg/128px-Philips_old_logo.svg.png
