Show_ID,Tour_ID,Leg,Show_date,Venue_ID,Tickets_sold,Tickets_available,Revenue,Cancelled,Cancellation_reason
1,52,Leg 1 - North America,28-Oct-08,1,13500,13500,920000,0,
2,52,Leg 1 - North America,30-Oct-08,2,13885,13885,1242708,0,
3,52,Leg 1 - North America,01-Nov-08,2,13885,13885,1242708,0,
4,52,Leg 1 - North America,03-Nov-08,3,14458,14458,1314215,0,
5,52,Leg 1 - North America,05-Nov-08,4,15189,15189,1276091,0,
6,52,Leg 1 - North America,07-Nov-08,5,45000,45000,4477500,0,
7,52,Leg 1 - North America,09-Nov-08,6,13718,13718,1255040,0,
8,52,Leg 1 - North America,12-Nov-08,7,14068,14068,1232725,0,
9,52,Leg 1 - North America,13-Nov-08,7,14068,14068,1232725,0,
10,52,Leg 1 - North America,15-Nov-08,8,14931,14931,1381117,0,
11,52,Leg 1 - North America,17-Nov-08,9,15402,15402,1424685,0,
12,52,Leg 1 - North America,19-Nov-08,10,20000,20000,1790000,0,
13,52,Leg 1 - North America,21-Nov-08,11,13704,18325,1226508,0,
14,52,Leg 1 - North America,23-Nov-08,12,15419,15419,1380001,0,
15,52,Leg 1 - North America,25-Nov-08,13,12000,12000,1074000,0,
16,52,Leg 1 - North America,28-Nov-08,14,14000,14000,1393000,0,
17,52,Leg 1 - North America,29-Nov-08,15,0,0,0,1,
18,52,Leg 1 - North America,30-Nov-08,16,21460,21460,1920670,0,
19,52,Leg 1 - North America,02-Dec-08,17,14251,14251,1282590,0,
20,52,Leg 1 - North America,04-Dec-08,17,14251,14251,1282590,0,
21,52,Leg 1 - North America,06-Dec-08,18,14297,14297,1336770,0,
22,52,Leg 1 - North America,08-Dec-08,18,14297,14297,1336770,0,
23,52,Leg 1 - North America,10-Dec-08,19,14004,14712,1352852,0,
24,52,Leg 1 - North America,12-Dec-08,20,14491,14491,1235229,0,
25,52,Leg 1 - North America,14-Dec-08,21,13317,13317,1178626,0,
26,52,Leg 1 - North America,16-Dec-08,22,16090,16090,1268752,0,
27,52,Leg 1 - North America,18-Dec-08,23,15125,15125,1360148,0,
28,52,Leg 1 - North America,20-Dec-08,24,14388,14388,1276696,0,
29,52,Leg 1 - North America,21-Dec-08,25,15218,15218,1347033,0,
30,52,Leg 1 - North America,05-Jan-09,26,20500,20500,1875750,0,
31,52,Leg 1 - North America,07-Jan-09,27,12937,13118,1145063,0,
32,52,Leg 1 - North America,09-Jan-09,5,45350,45350,3414693,0,
33,52,Leg 1 - North America,11-Jan-09,28,11864,12004,1053863,0,
34,52,Leg 1 - North America,13-Jan-09,29,14394,14394,1276091,0,
35,52,Leg 1 - North America,15-Jan-09,30,14591,14591,1305895,0,
36,52,Leg 1 - North America,17-Jan-09,31,21692,21692,1870334,0,
37,52,Leg 1 - North America,19-Jan-09,12,15499,15499,1387161,0,
38,52,Leg 1 - North America,21-Jan-09,32,15000,15000,1387500,0,
39,52,Leg 1 - North America,23-Jan-09,33,14521,14521,1253179,0,
40,52,Leg 1 - North America,26-Jan-09,34,17000,17000,1555500,0,
41,52,Leg 1 - North America,28-Jan-09,35,11858,11858,953327,0,
42,52,Leg 1 - North America,30-Jan-09,36,13673,13673,1155086,0,
43,52,Leg 1 - North America,31-Jan-09,37,14476,14476,1263441,0,
44,52,Leg 2 - Europe,18-Feb-09,38,22100,22100,1387217,0,
45,52,Leg 2 - Europe,20-Feb-09,39,13500,13500,922050,0,
46,52,Leg 2 - Europe,22-Feb-09,39,13500,13500,922050,0,
47,52,Leg 2 - Europe,25-Feb-09,40,16500,16500,1379070,0,
48,52,Leg 2 - Europe,27-Feb-09,40,16500,16500,1379070,0,
49,52,Leg 2 - Europe,01-Mar-09,41,16279,16279,1157604,0,
50,52,Leg 2 - Europe,03-Mar-09,41,0,0,0,1,Brian Johnson falling ill
51,52,Leg 2 - Europe,05-Mar-09,42,16700,16700,1390108,0,
52,52,Leg 2 - Europe,07-Mar-09,43,12488,12488,1039501,0,
53,52,Leg 2 - Europe,09-Mar-09,44,11545,11545,961005,0,
54,52,Leg 2 - Europe,11-Mar-09,45,11764,11764,979235,0,
55,52,Leg 2 - Europe,13-Mar-09,46,9700,9700,666293,0,
56,52,Leg 2 - Europe,15-Mar-09,47,12254,12254,1020022,0,
57,52,Leg 2 - Europe,17-Mar-09,48,14000,14000,1045520,0,
58,52,Leg 2 - Europe,19-Mar-09,49,11500,11500,908500,0,
59,52,Leg 2 - Europe,21-Mar-09,49,11500,11500,908500,0,
60,52,Leg 2 - Europe,23-Mar-09,50,14400,14400,999282,0,
61,52,Leg 2 - Europe,25-Mar-09,51,13079,13079,1088695,0,
62,52,Leg 2 - Europe,27-Mar-09,52,11136,11136,926960,0,
63,52,Leg 2 - Europe,31-Mar-09,53,17880,17880,1330203,0,
64,52,Leg 2 - Europe,02-Apr-09,54,15911,15911,1189202,0,
65,52,Leg 2 - Europe,04-Apr-09,55,16320,16320,1206635,0,
66,52,Leg 2 - Europe,06-Apr-09,56,12500,12500,858625,0,
67,52,Leg 2 - Europe,14-Apr-09,57,18192,18655,1077681,0,
68,52,Leg 2 - Europe,16-Apr-09,57,18191,18655,1077681,0,
69,52,Leg 2 - Europe,18-Apr-09,58,12060,12060,979364,0,
70,52,Leg 2 - Europe,21-Apr-09,59,15000,15000,812250,0,
71,52,Leg 2 - Europe,23-Apr-09,60,11800,11800,638970,0,
72,52,Leg 2 - Europe,13-May-09,61,51000,51000,4758810,0,
73,52,Leg 2 - Europe,15-May-09,62,70000,70000,6531700,0,
74,52,Leg 2 - Europe,17-May-09,63,58000,58000,5411980,0,
75,52,Leg 2 - Europe,19-May-09,64,45724,45724,4266506,0,
76,52,Leg 2 - Europe,22-May-09,65,90000,90000,8397900,0,
77,52,Leg 2 - Europe,24-May-09,66,60000,60000,5488800,0,
78,52,Leg 2 - Europe,26-May-09,67,32716,45000,2363549,0,
79,52,Leg 2 - Europe,28-May-09,68,45000,73997,5100750,0,
80,52,Leg 2 - Europe,03-Jun-09,69,51500,51500,3537535,0,
81,52,Leg 2 - Europe,05-Jun-09,70,55000,55000,4093100,0,
82,52,Leg 2 - Europe,07-Jun-09,71,64196,64376,5906138,0,
83,52,Leg 2 - Europe,09-Jun-09,72,57000,57000,5123160,0,
84,52,Leg 2 - Europe,12-Jun-09,73,78000,78000,6123000,0,
85,52,Leg 2 - Europe,15-Jun-09,74,40000,40000,4136860,0,
86,52,Leg 2 - Europe,17-Jun-09,75,44522,44522,4640928,0,
87,52,Leg 2 - Europe,19-Jun-09,76,48869,48869,5363954,0,
88,52,Leg 2 - Europe,21-Jun-09,77,56568,56568,4518232,0,
89,52,Leg 2 - Europe,23-Jun-09,78,50541,50541,4361233,0,
90,52,Leg 2 - Europe,26-Jun-09,79,70000,70000,5209400,0,
91,52,Leg 2 - Europe,28-Jun-09,80,69354,69354,6826792,0,
92,52,Leg 2 - Europe,30-Jun-09,81,52000,52000,3571880,0,
93,52,Leg 2 - Europe,10-Jul-09,82,0,0,0,1,Schedule changes
94,52,Leg 3 - North America,28-Jul-09,83,46500,46500,3162000,0,
95,52,Leg 3 - North America,31-Jul-09,84,46673,53567,3266661,0,
96,52,Leg 3 - North America,02-Aug-09,86,0,0,0,0,
97,52,Leg 3 - North America,06-Aug-09,87,70000,90000,12044900,0,
98,52,Leg 3 - North America,08-Aug-09,88,53049,53049,4234534,0,
99,52,Leg 3 - North America,10-Aug-09,89,14071,14071,1290639,0,
100,52,Leg 3 - North America,14-Aug-09,90,12995,14381,1163053,0,
101,52,Leg 3 - North America,16-Aug-09,4,11920,15100,938248,0,
102,52,Leg 3 - North America,18-Aug-09,91,10124,10788,895896,0,
